,frac_C,frac_H+,frac_H-,frac_CH3+,frac_CH3-,frac_C2H5+,frac_C2H5-,C_mean_r,C_mean_c,C_std_r,C_std_c,C_corr_rc,H+_mean_r,H+_mean_c,H+_std_r,H+_std_c,H+_corr_rc,H-_mean_r,H-_mean_c,H-_std_r,H-_std_c,H-_corr_rc,CH3+_mean_r,CH3+_mean_c,CH3+_std_r,CH3+_std_c,CH3+_corr_rc,CH3-_mean_r,CH3-_mean_c,CH3-_std_r,CH3-_std_c,CH3-_corr_rc,C2H5+_mean_r,C2H5+_mean_c,C2H5+_std_r,C2H5+_std_c,C2H5+_corr_rc,C2H5-_mean_r,C2H5-_mean_c,C2H5-_std_r,C2H5-_std_c,C2H5-_corr_rc,H+_nn_mean,H+_nn_std,H-_nn_mean,H-_nn_std,CH3+_nn_mean,CH3+_nn_std,CH3-_nn_mean,CH3-_nn_std,C2H5+_nn_mean,C2H5+_nn_std,C2H5-_nn_mean,C2H5-_nn_std,dist_H+-H-_mean,dist_H+-H-_std,dist_H+-CH3+_mean,dist_H+-CH3+_std,dist_H+-CH3-_mean,dist_H+-CH3-_std,dist_H--CH3+_mean,dist_H--CH3+_std,dist_H--CH3-_mean,dist_H--CH3-_std,dist_CH3+-CH3-_mean,dist_CH3+-CH3-_std,dist_H+-C2H5+_mean,dist_H+-C2H5+_std,dist_H+-C2H5-_mean,dist_H+-C2H5-_std,dist_H--C2H5+_mean,dist_H--C2H5+_std,dist_H--C2H5-_mean,dist_H--C2H5-_std,dist_C2H5+-C2H5-_mean,dist_C2H5+-C2H5-_std,rdf_nc_bin0,rdf_nc_bin1,rdf_nc_bin2,rdf_nc_bin3,rdf_nc_bin4,rdf_nc_bin5,rdf_nc_bin6,rdf_nc_bin7,rdf_nc_bin8,rdf_nc_bin9,fft_top0,fft_top1,fft_top2,fft_top3,fft_top4,fft_top5,fft_top6,fft_top7,fft_top8,fft_top9,fft_top10,fft_top11,fft_top12,fft_top13,fft_top14,fft_top15,fft_top16,fft_top17,fft_top18,fft_top19,row_marginal_0,row_marginal_1,row_marginal_2,row_marginal_3,row_marginal_4,row_marginal_5,row_marginal_6,row_marginal_7,row_marginal_8,row_marginal_9,col_marginal_0,col_marginal_1,col_marginal_2,col_marginal_3,col_marginal_4,col_marginal_5,col_marginal_6,col_marginal_7,col_marginal_8,col_marginal_9,Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
M1H1-1,0.98015709,0.004857379,0.005064076,0.004857379,0.005064076,0,0,0.4946328,0.49553037,0.2883774,0.28871948,-0.002031061,0.46315515,0.5375045,0.29853272,0.29112566,0.19545927,0.5009955,0.45122796,0.29188165,0.2799231,0.037689594,0.42968345,0.5169492,0.28385997,0.25845167,0.220447644,0.43653557,0.52490485,0.31790468,0.30286387,0.024937554,0,0,0,0,0,0,0,0,0,0,7.59274869,3.375310433,7.66176648,3.866574147,7.563758477,3.534357843,7.916637968,3.645000268,0,0,0,0,8.157699645,4.347268685,6.631501682,3.145715479,6.276223741,3.577779328,8.121204914,4.834517697,8.508888993,3.860690425,8.289149903,4.269211179,0,0,0,0,0,0,0,0,0,0,0.003094379,0.012893244,0.02097301,0.028451092,0.033264569,0.037906137,0.042547705,0.047275228,0.054753309,0.05217466,0.222237214,0.046212018,0.044959664,0.043911178,0.042785477,0.042524606,0.042478826,0.041364353,0.040846039,0.040584635,0.040483564,0.040097728,0.039457232,0.039345235,0.039282437,0.039070264,0.039004706,0.038728893,0.038679209,0.03794672,0.016203704,0.016782407,0.009765625,0.013020833,0.009114583,0.011067708,0.01171875,0.009765625,0.011067708,0.012369792,0.006944444,0.008246528,0.0078125,0.009114583,0.01171875,0.005642361,0.008680556,0.009114583,0.008049242,0.009469697,44.75,883.959134,137.48514,0.2412,0.2635
M1H1-2,0.98015709,0.004857379,0.005064076,0.005064076,0.004857379,0,0,0.4942316,0.49556792,0.28864956,0.2883628,-5.63E-05,0.44395432,0.5239813,0.2796309,0.28723967,0.037813249,0.50074667,0.44586647,0.28743434,0.30723813,0.279940002,0.4800896,0.52040815,0.32332632,0.29769737,-0.206138541,0.48469126,0.5331771,0.25433663,0.31115407,-0.0594065,0,0,0,0,0,0,0,0,0,0,7.844687343,4.168425856,7.55192592,4.608006187,8.860975734,3.797615641,7.526219836,2.107396822,0,0,0,0,7.810719634,3.891220241,7.143307253,3.147909101,7.526537581,4.645995544,7.585701258,3.753636834,8.399386265,4.596061332,8.356324369,5.654004016,0,0,0,0,0,0,0,0,0,0,0.00358329,0.010749869,0.019839189,0.027879741,0.033385772,0.03635728,0.044135641,0.049292082,0.051040028,0.057070442,0.225279316,0.047388509,0.044027101,0.043703686,0.043525152,0.042588949,0.041505489,0.041500919,0.041171905,0.041028854,0.040973939,0.03986679,0.039409049,0.039137121,0.038783986,0.038589314,0.038007092,0.037965782,0.037856873,0.037690125,0.013888889,0.009837963,0.016276042,0.010416667,0.01171875,0.014973958,0.01171875,0.009765625,0.013671875,0.009765625,0.009982639,0.0078125,0.007378472,0.009114583,0.006944444,0.006944444,0.008680556,0.009114583,0.008996212,0.009943182,46.13,884.360687,136.95219,0.2399,0.2502
M1H1-3,0.98015709,0.004754031,0.005167425,0.005064076,0.004857379,0,0,0.49392045,0.49578145,0.2884601,0.28868455,-0.002183058,0.55408275,0.45044214,0.2837499,0.29143268,0.139130841,0.52756095,0.49932203,0.30295795,0.29662395,-0.041377773,0.38327527,0.468523,0.26763573,0.27630502,0.122728804,0.51089776,0.56094486,0.30659336,0.27336195,0.217263146,0,0,0,0,0,0,0,0,0,0,6.485905565,3.770363073,8.112261742,4.885817171,7.742093561,3.466867602,6.5917292,2.927521606,0,0,0,0,6.910447264,3.486941653,8.20473226,4.113574962,7.839608544,5.243763879,8.451345419,4.039153453,8.43650524,5.6573297,7.821160359,3.842944984,0,0,0,0,0,0,0,0,0,0,0.003377501,0.013510003,0.018532952,0.024421928,0.032389365,0.039404174,0.045119945,0.047285009,0.054992639,0.054299818,0.229998261,0.047112346,0.045545556,0.043705046,0.042809114,0.041337594,0.041298885,0.040264919,0.040157039,0.03985716,0.039580036,0.039475333,0.039432738,0.039415069,0.038993645,0.038850162,0.038588189,0.038394582,0.03761984,0.037564456,0.012731481,0.012152778,0.013671875,0.012369792,0.011067708,0.013020833,0.006510417,0.015625,0.0078125,0.016927083,0.008246528,0.009548611,0.006944444,0.009548611,0.0078125,0.012152778,0.006510417,0.006510417,0.008049242,0.009469697,45.57,883.515981,142.88124,0.2989,0.3019
M1H1-4,0.98015709,0.004650682,0.005270773,0.005580819,0.004340637,0,0,0.49328396,0.4960558,0.2888135,0.28895643,0.000767542,0.4878049,0.4314501,0.25911885,0.2774628,0.022744052,0.6233859,0.53655696,0.25831005,0.28626496,-0.166973365,0.46205962,0.5062775,0.28516838,0.25210017,-0.088691689,0.52380955,0.43543178,0.28258762,0.26253575,0.032562628,0,0,0,0,0,0,0,0,0,0,7.049393295,3.50165814,6.084661524,4.385407175,7.194920249,3.295868966,9.13884408,4.798869442,0,0,0,0,7.690256938,3.954456474,7.394896325,3.550267205,6.477157712,3.574879201,7.908605775,4.170747074,7.558604978,3.778790216,7.529302008,3.88424884,0,0,0,0,0,0,0,0,0,0,0.004012273,0.010699394,0.019353316,0.02690583,0.031154118,0.040673432,0.043662969,0.047675242,0.056329164,0.052867595,0.224976569,0.048190184,0.043823019,0.042334653,0.042232201,0.041977104,0.041703731,0.041161634,0.040312331,0.040312331,0.040014777,0.040004093,0.039867211,0.039641734,0.039617043,0.039527375,0.038693462,0.038645726,0.03863927,0.038325537,0.006944444,0.008680556,0.01953125,0.013020833,0.012369792,0.007161458,0.015625,0.014322917,0.009114583,0.016276042,0.006076389,0.009548611,0.009548611,0.0078125,0.011284722,0.01171875,0.009114583,0.005642361,0.004261364,0.009469697,44,881.968931,136.80316,0.2492,0.252
M1H2-1,0.970132286,0.010644895,0.009301364,0.004857379,0.005064076,0,0,0.49427205,0.4960015,0.28854045,0.28885242,0.002121583,0.44044518,0.47103834,0.28381312,0.28126216,-0.188054389,0.5062331,0.46986815,0.30291095,0.26032302,-0.006239196,0.51453036,0.5265056,0.2821204,0.29578018,0.12495413,0.49303135,0.52006227,0.2881472,0.303315,-0.162621064,0,0,0,0,0,0,0,0,0,0,4.742819069,3.117572695,5.784284412,3.395724183,7.972244195,3.908082615,7.306600086,3.548688071,0,0,0,0,5.657754961,2.492611034,7.67292861,4.014530833,7.164799682,4.206515391,7.797402808,3.829774943,6.639815034,3.679005101,7.392299641,3.740615443,0,0,0,0,0,0,0,0,0,0,0.003235532,0.012721524,0.019817634,0.024670932,0.033715714,0.039635267,0.043642915,0.047760865,0.05493051,0.053202441,0.258098155,0.048699595,0.045553066,0.042583719,0.040623024,0.040484004,0.04033871,0.03946678,0.038734496,0.038409598,0.038160563,0.037800893,0.037466828,0.03681292,0.0364861,0.036439236,0.036414247,0.036304027,0.035918143,0.035205878,0.011534025,0.015763168,0.012110727,0.012543253,0.012110727,0.010380623,0.011678201,0.011245675,0.011678201,0.012543253,0.008650519,0.00922722,0.006632065,0.008650519,0.008073818,0.010380623,0.009803922,0.008362168,0.008178673,0.006605851,40.33,868.572341,134.03011,0.2407,0.2499
M1H2-2,0.970132286,0.00961141,0.010334849,0.005580819,0.004340637,0,0,0.49385244,0.49553025,0.28857353,0.28852898,0.000253379,0.4702334,0.5268817,0.30575255,0.2880381,-0.166523159,0.5184146,0.4661017,0.29344156,0.27187678,0.314942365,0.50654924,0.5086315,0.27218285,0.31696165,-0.223472928,0.48286876,0.5328894,0.27092025,0.3101168,-0.044254702,0,0,0,0,0,0,0,0,0,0,5.463119883,2.383527401,5.62805044,3.225685701,7.374109175,3.062968028,8.354735593,5.043459964,0,0,0,0,5.495640237,3.705863228,6.993996403,4.037210432,7.935285469,4.253911218,6.815051281,3.755672515,8.205596447,4.662422862,7.408508399,4.692697594,0,0,0,0,0,0,0,0,0,0,0.003657672,0.012092711,0.020789012,0.025491733,0.034188034,0.040346359,0.041839286,0.048258874,0.053708058,0.052961594,0.262123674,0.045868061,0.042206615,0.040485647,0.040334772,0.039939512,0.039302994,0.038818158,0.038663395,0.038449477,0.038396265,0.038157273,0.038148332,0.037650049,0.037382361,0.037290093,0.03711294,0.036710225,0.036574911,0.036385275,0.009611688,0.014994233,0.015138408,0.009948097,0.011245675,0.012975779,0.012543253,0.007785467,0.012110727,0.015570934,0.008362168,0.007497116,0.010092272,0.007208766,0.007208766,0.008362168,0.00893887,0.009515571,0.008178673,0.00943693,41.31,869.167314,134.22004,0.2386,0.248
M1H2-3,0.970442332,0.010128152,0.009508061,0.004340637,0.005580819,0,0,0.49401674,0.49595764,0.28847927,0.28860727,0.001673129,0.44985068,0.5171221,0.29881418,0.28179896,-0.040386571,0.47865853,0.49668387,0.29464605,0.2998844,-0.069605877,0.5159698,0.448749,0.27181312,0.29561085,0.064329668,0.5627823,0.45809793,0.28693745,0.27897733,-0.080749985,0,0,0,0,0,0,0,0,0,0,5.187340658,2.725478231,5.339029635,2.452855822,8.219041056,4.281158313,7.613368362,3.79565443,0,0,0,0,6.048211132,3.663214722,8.836524285,4.400547484,6.981338683,3.376946452,7.120620861,3.495807718,7.484072135,3.445155882,6.616774141,3.04399721,0,0,0,0,0,0,0,0,0,0,0.003155181,0.011735734,0.019200431,0.026588172,0.033514179,0.038246951,0.043787756,0.047943361,0.053291777,0.055869791,0.257977337,0.047532607,0.043208338,0.043176923,0.042183392,0.041785195,0.039900027,0.03976531,0.039097566,0.039089732,0.038195271,0.037214354,0.03674354,0.036733717,0.036448531,0.0363589,0.036304448,0.036259599,0.03614543,0.035879765,0.012820513,0.012820513,0.012674825,0.012237762,0.011363636,0.009178322,0.015297203,0.009615385,0.013111888,0.012674825,0.01048951,0.008158508,0.007867133,0.004662005,0.009615385,0.010198135,0.009032634,0.009615385,0.007946599,0.006993007,40.82,872.3792,134.59032,0.243,0.2555
M1H2-4,0.970132286,0.010231501,0.009714758,0.005374122,0.004547334,0,0,0.49369264,0.49500662,0.28857806,0.28870672,0.003312837,0.49975362,0.5036809,0.30907428,0.30607504,-0.174257468,0.5062273,0.5108186,0.28138182,0.27309945,0.046866949,0.51899624,0.5650261,0.29909536,0.25380626,-0.424279195,0.4695122,0.5252311,0.25499314,0.29766205,0.088365281,0,0,0,0,0,0,0,0,0,0,5.454866165,2.588238894,5.555538696,2.542789224,7.6325829,4.108320054,7.357459555,3.411820067,0,0,0,0,5.496890457,3.204534879,8.176701649,5.530460613,8.415652154,4.567676379,7.266890529,6.130735606,7.273099883,3.791914271,8.291627214,4.34330551,0,0,0,0,0,0,0,0,0,0,0.0030767,0.011546675,0.019727079,0.024794585,0.034097079,0.039128389,0.045824737,0.048177508,0.052919246,0.054041336,0.264057159,0.046217162,0.046217162,0.042545717,0.041172463,0.039368682,0.039368682,0.038684629,0.03791238,0.037891582,0.037461396,0.037210133,0.037020173,0.036719624,0.036702476,0.036637872,0.036543526,0.036526456,0.035921358,0.035821363,0.012687428,0.011534025,0.012110727,0.013408304,0.009948097,0.010380623,0.013408304,0.014705882,0.011678201,0.012110727,0.007785467,0.008073818,0.007208766,0.007497116,0.006343714,0.010380623,0.009803922,0.010668973,0.006291287,0.010695187,38.9,871.310914,133.00691,0.2364,0.2443
M1H3-1,0.960314179,0.013848698,0.015915668,0.004754031,0.005167425,0,0,0.4944642,0.49566332,0.28873202,0.2888775,-0.001765857,0.49262834,0.50069565,0.28112817,0.2830954,0.073908767,0.4382325,0.48910412,0.29445493,0.2896606,0.002707783,0.52465534,0.5127119,0.2491546,0.29462835,0.259643792,0.5360975,0.5059322,0.28856823,0.251963,-0.119131078,0,0,0,0,0,0,0,0,0,0,4.150255565,2.240903255,4.244328576,2.208004829,7.645503463,4.281224765,7.129208523,3.918467281,0,0,0,0,4.156082326,2.000774626,7.483871793,4.261842886,7.124367757,3.934741418,8.078551557,4.483373853,8.014354576,4.565965703,7.499439411,3.847322028,0,0,0,0,0,0,0,0,0,0,0.003805129,0.01273099,0.019713806,0.024895258,0.033072237,0.039265691,0.041471856,0.048818993,0.054546927,0.055012448,0.29266113,0.040756818,0.039895542,0.039699815,0.038565047,0.038542412,0.038447052,0.038419034,0.038295899,0.037377484,0.037268031,0.03651347,0.0363978,0.036171053,0.036005493,0.035183895,0.035079435,0.034969591,0.034943379,0.034807593,0.013020833,0.013310185,0.012044271,0.012044271,0.010742187,0.015299479,0.011393229,0.013997396,0.007486979,0.012369792,0.008246528,0.007595486,0.009114583,0.009114583,0.008463542,0.007595486,0.008680556,0.009548611,0.007575758,0.00875947,36.57,859.190923,133.15207,0.2417,0.2514
M1H3-2,0.960210831,0.014468789,0.015398925,0.004857379,0.005064076,0,0,0.49370492,0.495578,0.28858027,0.2885639,0.0014069,0.5358014,0.5056901,0.30584243,0.30475238,-0.005488298,0.47037157,0.49783868,0.28305513,0.2896508,-0.084129305,0.4841723,0.45672557,0.2947612,0.26748875,0.074533225,0.49253362,0.5335524,0.24833962,0.27104026,-0.100654714,0,0,0,0,0,0,0,0,0,0,4.368254934,2.332333039,4.474424759,2.240489128,7.954404915,4.061206705,7.725098333,3.346700878,0,0,0,0,4.349643346,2.336487575,8.259080616,4.11813258,8.077155294,4.754951352,7.350804143,4.134391761,7.650258895,3.955759787,7.15503174,3.858837542,0,0,0,0,0,0,0,0,0,0,0.003373606,0.012629937,0.019735594,0.025639404,0.033208932,0.039281422,0.044700276,0.04701963,0.052691505,0.055053029,0.295142621,0.043669958,0.041327212,0.04048004,0.039374486,0.038584899,0.037903279,0.037490524,0.037180651,0.036810599,0.035962358,0.03591954,0.035753131,0.035438854,0.035401404,0.035359453,0.035263654,0.034641173,0.03416343,0.034132823,0.012698413,0.011255411,0.011688312,0.012662338,0.012012987,0.01461039,0.011038961,0.01038961,0.011038961,0.01461039,0.007575758,0.00995671,0.008008658,0.007142857,0.00995671,0.007792208,0.007575758,0.009307359,0.008264463,0.009208973,37.95,859.033184,132.77327,0.2432,0.2538
M1H3-3,0.960624225,0.016329062,0.013125258,0.004547334,0.005374122,0,0,0.4937719,0.49716085,0.28914434,0.28912905,-0.000392391,0.48842233,0.46792534,0.27399907,0.2819843,-0.027130847,0.49116573,0.48418525,0.28385836,0.26472938,0.07098885,0.5113637,0.43644068,0.26313317,0.27737838,0.125201241,0.52579737,0.4088983,0.2737344,0.26675442,-0.073802215,0,0,0,0,0,0,0,0,0,0,4.163657729,2.293227208,4.245377602,2.64135742,8.652015361,4.159533761,8.310466335,4.077800509,0,0,0,0,4.698049403,2.570125872,7.713114857,3.929957769,6.648398889,3.701016941,6.925250691,3.708040492,6.811761432,3.65024871,6.950489982,2.809845987,0,0,0,0,0,0,0,0,0,0,0.003513317,0.011501698,0.01846945,0.025653104,0.03507429,0.038391333,0.044083299,0.04849948,0.05346523,0.054682133,0.285682499,0.043284163,0.042201288,0.039106242,0.038998447,0.038436066,0.038347881,0.038154062,0.037941951,0.037763644,0.037678972,0.036619142,0.036193948,0.036065761,0.035893146,0.035868831,0.035576601,0.035483938,0.035418183,0.035285253,0.009915427,0.010790318,0.01312336,0.014107612,0.012139108,0.015091864,0.015091864,0.00984252,0.010498688,0.011811024,0.007655293,0.010061242,0.011592301,0.008530184,0.008092738,0.009186352,0.010061242,0.006999125,0.006680983,0.00548795,35.99,861.303513,132.18067,0.2443,0.2476
M1H3-4,0.960520876,0.014468789,0.01508888,0.005374122,0.004547334,0,0,0.4942554,0.49514812,0.28903937,0.2886665,-0.000648314,0.46132404,0.5343826,0.28173086,0.28229332,0.159913576,0.5149516,0.50766194,0.27354446,0.2926202,-0.079801342,0.47983113,0.42878097,0.26924914,0.26803735,0.106253603,0.46978936,0.5423729,0.29002032,0.29642302,-0.159122826,0,0,0,0,0,0,0,0,0,0,4.221013585,2.358307814,4.318913457,2.159179253,7.91682997,5.483958719,8.276697392,4.366286993,0,0,0,0,3.955002647,2.026808836,7.357481635,4.443651135,7.633117002,3.58565941,7.264301782,4.485569148,7.538591067,3.608179569,7.075382591,3.845141744,0,0,0,0,0,0,0,0,0,0,0.003590118,0.012230741,0.020404852,0.024887429,0.033812016,0.037868646,0.041965843,0.048476735,0.054805079,0.055291875,0.293430358,0.04258408,0.04242127,0.040055402,0.039697543,0.039438732,0.039109595,0.037587512,0.036997519,0.036797598,0.036641203,0.036340445,0.035956427,0.035564899,0.034861814,0.034704328,0.034633763,0.03457123,0.034369692,0.034236651,0.011634671,0.011925538,0.011125654,0.015052356,0.013089005,0.014070681,0.013089005,0.009162304,0.01276178,0.010143979,0.007635253,0.006108202,0.010034904,0.009598604,0.009162304,0.006544503,0.009598604,0.008507853,0.006663494,0.010947168,37.83,863.063386,132.54038,0.2415,0.2528
M1H4-1,0.950496073,0.020049607,0.019532865,0.005684167,0.004237288,0,0,0.494643,0.4959115,0.28858513,0.28853562,-0.001404065,0.50201154,0.48462343,0.28305706,0.28626093,0.059690781,0.4808362,0.5037665,0.30265972,0.30096957,0.056920018,0.4235033,0.5405239,0.28550372,0.26520115,-0.038721733,0.44408092,0.418148,0.24744564,0.2845607,-0.218471608,0,0,0,0,0,0,0,0,0,0,3.528749245,2.097246821,3.396328077,1.736438926,6.839809239,4.939516955,9.200362344,5.756198446,0,0,0,0,3.940495728,2.116045382,7.414900711,4.47486336,7.764606953,4.439693555,7.693975703,4.794572251,7.997396201,4.802376289,7.708466904,4.316721377,0,0,0,0,0,0,0,0,0,0,0.004011054,0.012958789,0.019411354,0.024857802,0.034221399,0.038675145,0.04515454,0.04764971,0.052277849,0.05411569,0.303827822,0.043226495,0.041600101,0.041554395,0.040964842,0.039060038,0.03782364,0.036660485,0.036524832,0.035675641,0.035585761,0.035066266,0.034733582,0.034585852,0.03438922,0.034150641,0.033799849,0.033764344,0.033636589,0.033369638,0.014149849,0.010438413,0.016962422,0.010438413,0.012265136,0.009655532,0.014091858,0.010699374,0.011482255,0.011743215,0.009046625,0.009046625,0.007306889,0.009568546,0.008002784,0.00782881,0.008872651,0.008698678,0.007022205,0.009299677,34.53,851.999153,130.13022,0.2393,0.2522
M1H4-2,0.95070277,0.020049607,0.019326168,0.004960728,0.004960728,0,0,0.49530968,0.496748,0.28869942,0.28894427,0.000193446,0.47139806,0.50122315,0.2804193,0.28103432,-0.055655837,0.47110996,0.45209825,0.28608096,0.2772968,-0.010115798,0.47230694,0.45338982,0.31418458,0.27585256,0.156248964,0.42555892,0.4973517,0.27925053,0.30450135,-0.002748904,0,0,0,0,0,0,0,0,0,0,3.960544377,2.226750578,3.725409251,2.031421548,8.486675809,4.281413362,7.022985104,3.792889869,0,0,0,0,3.922707784,1.860881271,7.390212564,3.615290481,7.486262167,4.083812955,7.31084033,3.475776955,8.002707533,4.347165584,8.069533902,4.318964683,0,0,0,0,0,0,0,0,0,0,0.003253382,0.012723752,0.020587189,0.025170901,0.03404855,0.037907825,0.044783393,0.048563639,0.053845445,0.052449256,0.314095855,0.039885852,0.03926805,0.037982844,0.037819874,0.037663553,0.037235644,0.036748707,0.036694974,0.035825364,0.035515431,0.035457991,0.035332918,0.035206165,0.034952901,0.034606121,0.034141093,0.034036126,0.033822626,0.033707861,0.013510366,0.012112742,0.016247379,0.011792453,0.01336478,0.009696017,0.013626834,0.011268344,0.008909853,0.011268344,0.008385744,0.008560447,0.009259259,0.010656883,0.008385744,0.008560447,0.007861635,0.008560447,0.006479893,0.007813989,34.69,848.899863,130.20148,0.2397,0.2479
M1H4-3,0.950392724,0.020359653,0.019326168,0.005270773,0.004650682,0,0,0.49382555,0.49581894,0.288572,0.2886657,0.003700395,0.48960012,0.49040693,0.29383713,0.2831109,-0.053100137,0.4865006,0.49954683,0.29268274,0.29187772,-0.059674262,0.5294118,0.5314058,0.2673255,0.2893319,-0.048150522,0.5189702,0.45160073,0.28473347,0.29215443,-0.223109307,0,0,0,0,0,0,0,0,0,0,3.627304148,2.090594031,3.919738922,1.91233814,7.454309211,3.430248901,8.377159367,4.49207708,0,0,0,0,3.304188374,1.693853954,7.184485337,3.535522835,7.461247082,3.888659173,7.235866824,3.814619538,7.211897457,3.662102533,8.517690032,4.053313296,0,0,0,0,0,0,0,0,0,0,0.003880466,0.012228134,0.019629022,0.02497633,0.033270659,0.037244469,0.044271979,0.048272459,0.055353309,0.054206505,0.319523841,0.045299407,0.0392869,0.036538664,0.036121558,0.036088441,0.035654698,0.035580836,0.035497352,0.035213623,0.035097107,0.034936529,0.03490885,0.034842622,0.034766603,0.034614109,0.034433149,0.034065012,0.033795439,0.033735264,0.012731481,0.011342593,0.011979167,0.0140625,0.01171875,0.0109375,0.01171875,0.012239583,0.01328125,0.011979167,0.008680556,0.007291667,0.010763889,0.007638889,0.008159722,0.007118056,0.011111111,0.007638889,0.00719697,0.009090909,35.61,849.541804,129.6155,0.2431,0.2477
M1H4-4,0.950909467,0.019532865,0.019636213,0.005167425,0.004754031,0,0,0.4937507,0.49647146,0.2886004,0.28896442,0.003710757,0.47961026,0.4922877,0.305714,0.28415534,-0.027032835,0.5071245,0.4470116,0.2808032,0.26737812,-0.176698845,0.5017073,0.57711864,0.27406225,0.28139806,0.237766747,0.5198834,0.48120853,0.26999077,0.30876717,-0.182527327,0,0,0,0,0,0,0,0,0,0,3.738272046,1.933806563,3.553238848,1.960335364,7.521209505,3.681223652,7.28816266,3.652287883,0,0,0,0,3.619762119,1.852488525,7.914246974,4.800753536,7.466972037,4.143062095,8.185337648,4.981041448,7.614718801,3.743099574,7.202907017,3.538097017,0,0,0,0,0,0,0,0,0,0,0.003864851,0.012389071,0.020186105,0.025599591,0.032036521,0.037988661,0.041947777,0.049488951,0.055158297,0.054673508,0.312794298,0.041369006,0.040766593,0.040204186,0.039007675,0.037142526,0.036946975,0.035915308,0.035659954,0.035177998,0.03509615,0.035046574,0.035044458,0.034764715,0.034538113,0.034211345,0.034157757,0.034089725,0.034059923,0.034006711,0.01380117,0.010526316,0.011578947,0.013157895,0.011578947,0.012368421,0.011578947,0.011578947,0.013947368,0.011842105,0.009298246,0.00877193,0.008245614,0.007719298,0.008596491,0.010701754,0.009122807,0.007192982,0.00708134,0.00784689,35.3,847.939255,130.97976,0.2418,0.2712
M1H5-1,0.940677966,0.025837123,0.023563456,0.005167425,0.004754031,0,0,0.49485505,0.49528134,0.28849402,0.28896034,0.000653222,0.48531708,0.48915255,0.28594127,0.2808124,0.026826792,0.4615426,0.50367975,0.29557,0.28343248,-0.016377344,0.51926833,0.5640678,0.29803133,0.28062576,-0.141518835,0.48488864,0.5134488,0.27832612,0.29610744,-0.042324004,0,0,0,0,0,0,0,0,0,0,3.177019383,1.612001191,3.606319707,1.680299241,7.205831615,3.807360074,8.09802825,3.722461695,0,0,0,0,3.524398362,1.755738074,6.995895889,3.693973566,7.290888843,3.981826198,7.304236334,3.753813265,7.537714757,4.055909282,7.022608277,3.095637735,0,0,0,0,0,0,0,0,0,0,0.003103679,0.012561637,0.019577055,0.026537377,0.033929277,0.039787701,0.043047483,0.047675454,0.053818536,0.053295134,0.33295393,0.050245959,0.03858402,0.036727216,0.036719419,0.03630732,0.035217967,0.035139725,0.034969654,0.034495212,0.033634808,0.033207674,0.033045474,0.03302772,0.033025578,0.032860056,0.032624964,0.032531463,0.032481249,0.032200534,0.013162989,0.013550136,0.011324042,0.013283972,0.013719512,0.010670732,0.009799652,0.012195122,0.012848432,0.011106272,0.007113821,0.009436702,0.007839721,0.008275261,0.007404181,0.009146341,0.009146341,0.010307782,0.00886918,0.007127019,31.79,839.28206,130.26112,0.2437,0.254
M1H5-2,0.940677966,0.023460107,0.025940471,0.004960728,0.004960728,0,0,0.492919,0.49630925,0.28845793,0.28849643,0.001922634,0.49409047,0.4876428,0.30064726,0.28197253,-0.073760502,0.5248761,0.48909447,0.28102446,0.2932175,0.013605767,0.5294716,0.42514125,0.27859062,0.32119805,0.018880291,0.48196137,0.53601694,0.30519283,0.28090748,-0.048276429,0,0,0,0,0,0,0,0,0,0,3.449429557,1.75733317,3.137624225,1.63987157,7.30760217,3.50520335,8.105632913,4.63981484,0,0,0,0,3.243307863,1.582081078,7.941021521,4.365170632,7.109653745,3.510707952,7.478420338,4.196555476,6.872858728,3.308035033,6.48984568,2.674460016,0,0,0,0,0,0,0,0,0,0,0.003522989,0.012108504,0.020259549,0.024887604,0.034578186,0.037798935,0.043352601,0.047631191,0.055121085,0.054072689,0.335977465,0.040399484,0.03799329,0.036986653,0.036836371,0.036010526,0.035755992,0.035487007,0.034945257,0.034368295,0.034317341,0.033859231,0.033759519,0.033671871,0.033571724,0.033530161,0.033298213,0.033123393,0.033066805,0.033041369,0.011227255,0.012195122,0.012195122,0.012412892,0.010670732,0.010452962,0.013283972,0.012630662,0.011977352,0.015026132,0.009436702,0.007694541,0.009146341,0.009291521,0.007404181,0.009436702,0.007549361,0.008420441,0.008077289,0.008235667,32.79,838.02157,130.08212,0.2527,0.2585
